FID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,115345.39175247148,213771.80966413906,286309.0304354479,141596.1419713381,186789.35787769017,183182.94519486075,350515.06149908283,235220.0931206023,127859.08057473044,304605.5927557459,467763.1435269763,163809.93647837895,233582.82507631835,100171.3527903749,207323.62736480593,263782.59145422175,394643.9819511964,591325.5772302909,147753.9272882245,164825.5080138623,174938.26425260634,202356.43117649574
1,115345.3917524715,0.0,325647.66610128625,401620.54608441965,95720.13878048051,83706.17393049951,108706.98224764473,463569.7916632083,346040.9469950798,142615.36370313782,408331.2068910612,578103.0409725036,275673.1410525591,333092.19941608526,193048.7386643059,279488.29328448034,357417.90188179514,501825.04656167264,698577.9858489971,243556.91371562917,264802.1628688343,262130.29798224923,283189.4923534149
2,213771.809664139,325647.6661012862,0.0,109535.50038806091,347445.4649192596,400559.130552855,392858.51408136496,198992.52191570535,144174.68448911962,306700.68848726654,225772.28224312604,321535.99906426953,125558.29728535906,205086.32385446236,203355.34696998744,271534.400186284,242479.7548791082,275903.7093033398,452259.2285305851,106843.41626982267,183508.08230069806,223903.34476685157,249669.50339282566
3,286309.0304354478,401620.54608441965,109535.50038806073,0.0,400591.24394861655,467067.7869698064,448089.5228298618,90385.90619696406,95825.04845146573,345573.4461055018,147435.96591849544,212014.3569929155,137791.26001218497,165257.9970496393,236913.05126733505,260267.03845066138,193099.52991145078,172057.43381452732,342725.2601441793,213305.79137734688,184045.84110701404,220788.4825989274,236135.89922287254
4,141596.14197133805,95720.13878048067,347445.4649192594,400591.24394861644,0.0,83952.74602499245,47590.71356756709,446396.6963485355,326811.3669657811,69600.07993750104,372395.3015314674,550299.0308831343,263892.734404199,295091.53377472796,165939.10170249396,218557.73769975817,310635.03149396175,468804.28646334476,662101.9601989925,289276.65978277853,233515.38529957845,216658.3492779812,229275.99504900776
5,186789.35787769017,83706.17393049944,400559.1305528549,467067.78696980653,83952.74602499235,0.0,54442.16312759864,520422.2851651961,400819.38629014377,153303.79562592407,452377.178144689,628557.036877434,333988.6675956822,375145.8014868419,240225.87720113437,302322.3992209964,392858.24279372947,548381.0463960003,743052.4331583705,324941.3523892255,310832.0591412088,297882.5588136137,312284.361056047
6,183182.9451948608,108706.98224764469,392858.51408136496,448089.5228298618,47590.71356756708,54442.16312759903,0.0,493684.49368642556,374180.2820580996,113125.51318702736,417953.84830208967,596465.9854184291,311480.23111633613,340768.5356135152,213461.38163146315,259813.59958627707,354559.9035666377,514449.85731692903,706712.1931595799,329478.919500548,280414.30315815884,261848.04474131975,272428.8139439902
7,350515.0614990829,463569.7916632081,198992.52191570544,90385.9061969644,446396.6963485355,520422.28516519594,493684.4936864255,0.0,119729.16844353695,383874.6417877929,107737.1931622633,123988.79650977156,187977.63263314447,165867.36695824878,280899.49170457927,267867.80703063705,176640.25933724007,86113.96876695483,254485.43083643803,299584.6922448508,214025.47989568344,240844.22519618395,245232.85215135646
8,235220.09312060257,346040.9469950798,144174.68448911989,95825.0484514658,326811.3669657811,400819.38629014377,374180.2820580996,119729.16844353695,0.0,265309.63250596577,85505.94828771657,232581.94387819062,71532.94660668491,70451.59547894161,161176.593536376,165010.35002448384,102823.10512406957,161596.51686119018,357023.183744685,217125.44723956753,96126.24710634559,128371.99370932081,140908.14340119404
9,127859.08057473021,142615.36370313773,306700.68848726666,345573.44610550185,69600.07993750113,153303.7956259242,113125.51318702739,383874.64178779296,265309.63250596577,0.0,304981.41807933536,483849.27982066944,207800.14229292786,227913.5845739741,108915.03873471066,149022.57644877752,241622.29943048558,401486.37043384183,593622.5700544135,268150.6896865737,169849.31634930728,148822.2609791727,159861.5138536186
